APM,Arlington Parks,Arlington,TX,https://zenius-i-vanisher.com/v5.2/arcade.php?id=3125#summary
ATC,Arrowhead Towne Center,Glendale,AZ,https://zenius-i-vanisher.com/v5.2/arcade.php?id=7904#summary
BTC,Burbank Town Center,Burbank,CA,https://zenius-i-vanisher.com/v5.2/arcade.php?id=4439#summary
BWM,Broadway Mall,Hicksville,NY,https://zenius-i-vanisher.com/v5.2/arcade.php?id=3918#summary
CCM,Coronado Center,Albuquerque,NM,https://zenius-i-vanisher.com/v5.2/arcade.php?id=4165#summary
CLM,Cumberland Mall,Atlanta,GA,https://zenius-i-vanisher.com/v5.2/arcade.php?id=4979#summary
CRG,Galleria at Crystal Run,Middletown,NY,https://zenius-i-vanisher.com/v5.2/arcade.php?id=3934#summary
DBF,Danbury Fair,Danbury,CT,https://zenius-i-vanisher.com/v5.2/arcade.php?id=7955#summary
DFM,Deptford Mall,Deptford,NJ,https://zenius-i-vanisher.com/v5.2/arcade.php?id=4871#summary
ESC,Eastridge Shopping Center,San Jose,CA,https://zenius-i-vanisher.com/v5.2/arcade.php?id=2868#summary
EXM,Exton Square Mall,Exton,PA,https://zenius-i-vanisher.com/v5.2/arcade.php?id=3831#summary
FDP,Fashion District Philadelphia,Philadelphia,PA,https://zenius-i-vanisher.com/v5.2/arcade.php?id=4787#summary
FFC,Fairfield Commons,Beavercreek,OH,https://zenius-i-vanisher.com/v5.2/arcade.php?id=4662#summary
FSM,Four Seasons Town Centre,Greensboro,NC,https://zenius-i-vanisher.com/v5.2/arcade.php?id=3997#summary
FVM,Fox Valley Mall,Aurora,IL,https://zenius-i-vanisher.com/v5.2/arcade.php?id=3956#summary
GLC,Great Lakes Crossing,Auburn Hills,MI,https://zenius-i-vanisher.com/v5.2/arcade.php?id=3996#summary
GLM,Great Lakes Mall,Mentor,OH,https://zenius-i-vanisher.com/v5.2/arcade.php?id=4168#summary
GUR,Gurnee Mills,Gurnee,IL,https://zenius-i-vanisher.com/v5.2/arcade.php?id=7428#summary
GVM,Grapevine Mills,Grapevine,TX,https://zenius-i-vanisher.com/v5.2/arcade.php?id=3599#summary
GWM,Gateway Mall,Lincoln,NE,https://zenius-i-vanisher.com/v5.2/arcade.php?id=4402#summary
HYM,Holyoke Mall at Ingleside,Holyoke,MA,https://zenius-i-vanisher.com/v5.2/arcade.php?id=4361#summary
JFM,Jefferson Mall,Louisville,KY,N/A
LAS,Meadows Mall,Las Vegas,NV,https://zenius-i-vanisher.com/v5.2/arcade.php?id=4364#summary
LVO,Las Vegas South Premium Outlets,Las Vegas,NV,https://zenius-i-vanisher.com/v5.2/arcade.php?id=7426#summary
LWM,Lakewood Center Mall,Lakewood,CA,https://zenius-i-vanisher.com/v5.2/arcade.php?id=2531#summary
MCM,Millcreek Mall,Erie,PA,https://zenius-i-vanisher.com/v5.2/arcade.php?id=4166#summary
MEM,Maine Mall,South Portland,ME,https://zenius-i-vanisher.com/v5.2/arcade.php?id=4164#summary
MPM,Main Place Mall,Santa Ana,CA,https://zenius-i-vanisher.com/v5.2/arcade.php?id=3295#summary
MVM,Moreno Valley Mall,Moreno Valley,CA,https://zenius-i-vanisher.com/v5.2/arcade.php?id=2235#summary
NRM,Northridge Mall,Salinas,CA,https://zenius-i-vanisher.com/v5.2/arcade.php?id=4286#summary
NRS,North Riverside Park Mall,North Riverside,IL,https://zenius-i-vanisher.com/v5.2/arcade.php?id=4167#summary
NSM,North Star Mall,San Antonio,TX,https://zenius-i-vanisher.com/v5.2/arcade.php?id=5557#summary
NWD,Northwoods Mall,Peoria,IL,N/A
PBO,Westfield Plaza Bonita,National City,CA,https://zenius-i-vanisher.com/v5.2/arcade.php?id=7905#summary
PCC,Park City Center,Lancaster,PA,https://zenius-i-vanisher.com/v5.2/arcade.php?id=4985#summary
PHM,Puente Hills Mall,City of Industry,CA,https://zenius-i-vanisher.com/v5.2/arcade.php?id=1423#summary
PLM,Pembroke Lakes Mall,Pembroke Pines,FL,https://zenius-i-vanisher.com/v5.2/arcade.php?id=4978#summary
PMM,Potomac Mills,Woodbridge,VA,https://zenius-i-vanisher.com/v5.2/arcade.php?id=4987#summary
PPM,Park Place Mall,Tuscon,AZ,https://zenius-i-vanisher.com/v5.2/arcade.php?id=4367#summary
QSM,Quail Springs Mall,Oklahoma City,OK,https://zenius-i-vanisher.com/v5.2/arcade.php?id=4785#summary
RNO,Meadowood Mall,Reno,NV,https://zenius-i-vanisher.com/v5.2/arcade.php?id=4365#summary
RVM,Westfield Galleria at Roseville,Roseville,CA,https://zenius-i-vanisher.com/v5.2/arcade.php?id=4366#summary
SCG,Silver City Galleria,Taunton,MA,N/A
SCM,Westfield Southcenter,Tukwila,WA,https://zenius-i-vanisher.com/v5.2/arcade.php?id=3296#summary
SHM,South Hill Mall,Puyallup,WA,https://zenius-i-vanisher.com/v5.2/arcade.php?id=4988#summary
SLM,Southland Mall,Hayward,CA,https://zenius-i-vanisher.com/v5.2/arcade.php?id=4359#summary
SRM,Southridge Mall,Greendale,WI,https://zenius-i-vanisher.com/v5.2/arcade.php?id=4362#summary
SSM,Stratford Square Mall,Bloomingdale,IL,N/A
STC,Shops at South Town,Sandy,UT,https://zenius-i-vanisher.com/v5.2/arcade.php?id=3998#summary
STM,The Mall at Stonecrest,Stonecrest,GA,N/A
SVM,Sunvalley Mall,Concord,CA,https://zenius-i-vanisher.com/v5.2/arcade.php?id=3704#summary
SWP,Southwest Plaza,Littleton,CO,https://zenius-i-vanisher.com/v5.2/arcade.php?id=3916#summary
TES,Town East Square,Wichita,KS,N/A
TMP,Promenade Temecula,Temecula,CA,https://zenius-i-vanisher.com/v5.2/arcade.php?id=4169#summary
TTC,Towson Town Center,Towson,MD,https://zenius-i-vanisher.com/v5.2/arcade.php?id=4363#summary
VCM,Vancouver Mall,Vancouver,WA,https://zenius-i-vanisher.com/v5.2/arcade.php?id=4582#summary
VRC,Valley River Center,Eugene,OR,https://zenius-i-vanisher.com/v5.2/arcade.php?id=4661#summary
APM,Arlington Parks,Arlington,TX
ATC,Arrowhead Towne Center,Glendale,AZ
BTC,Burbank Town Center,Burbank,CA
BWM,Broadway Mall,Hicksville,NY
CCM,Coronado Center,Albuquerque,NM
CHF,Chandler Fashion Center,Chandler,AZ
CLM,Cumberland Mall,Atlanta,GA
CRG,Galleria at Crystal Run,Middletown,NY
DBF,Danbury Fair,Danbury,CT
DBK,Deerbrook Mall,Humble,TX
DFM,Deptford Mall,Deptford,NJ
ESC,Eastridge Shopping Center,San Jose,CA
EXM,Exton Square Mall,Exton,PA
FDP,Fashion District Philadelphia,Philadelphia,PA
FFC,Fairfield Commons,Beavercreek,OH
FSM,Four Seasons Town Centre,Greensboro,NC
FVM,Fox Valley Mall,Aurora,IL
GLC,Great Lakes Crossing,Auburn Hills,MI
GLM,Great Lakes Mall,Mentor,OH
GUR,Gurnee Mills,Gurnee,IL
GVM,Grapevine Mills,Grapevine,TX
GWM,Gateway Mall,Lincoln,NE
HYM,Holyoke Mall at Ingleside,Holyoke,MA
JFM,Jefferson Mall,Louisville,KY
JSG,The Mills at Jersey Gardens,Elizabeth,NJ
LAS,Meadows Mall,Las Vegas,NV
LVO,Las Vegas South Premium Outlets,Las Vegas,NV
LWM,Lakewood Center Mall,Lakewood,CA
MCM,Millcreek Mall,Erie,PA
MEM,Maine Mall,South Portland,ME
MPM,Main Place Mall,Santa Ana,CA
MVJ,The Shops at Mission Viejo,Mission Viejo,CA
MVM,Moreno Valley Mall,Moreno Valley,CA
NRM,Northridge Mall,Salinas,CA
NRS,North Riverside Park Mall,North Riverside,IL
NSM,North Star Mall,San Antonio,TX
NWD,Northwoods Mall,Peoria,IL
PBO,Westfield Plaza Bonita,National City,CA
PCC,Park City Center,Lancaster,PA
PHM,Puente Hills Mall,City of Industry,CA
PLM,Pembroke Lakes Mall,Pembroke Pines,FL
PMM,Potomac Mills,Woodbridge,VA
PPM,Park Place Mall,Tuscon,AZ
QSM,Quail Springs Mall,Oklahoma City,OK
RNO,Meadowood Mall,Reno,NV
RVM,Westfield Galleria at Roseville,Roseville,CA
SCG,Silver City Galleria,Taunton,MA
SCM,Westfield Southcenter,Tukwila,WA
SHM,South Hill Mall,Puyallup,WA
SLM,Southland Mall,Hayward,CA
SRM,Southridge Mall,Greendale,WI
SSM,Stratford Square Mall,Bloomingdale,IL
STC,Shops at South Town,Sandy,UT
STG,Stonestown Galleria,San Francisco,CA
STM,The Mall at Stonecrest,Stonecrest,GA
SVM,Sunvalley Mall,Concord,CA
SWP,Southwest Plaza,Littleton,CO
TES,Town East Square,Wichita,KS
TMP,Promenade Temecula,Temecula,CA
TTC,Towson Town Center,Towson,MD
VCM,Vancouver Mall,Vancouver,WA
VRC,Valley River Center,Eugene,OR
